"","DateTime","DAY_OF_WEEK","AIRLINE","ORIGIN_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_DELAY","Pressure","Wind.Speed","Wind.Direction","temperature","humidity"
"1","2015-01-01 00:00",4,"B6","JFK",2359,-8,1022,2,249,268.05,59
"2","2015-01-01 06:00",4,"AA","JFK",545,55,1019,3,251,266.667,52
"3","2015-01-01 06:00",4,"B6","JFK",545,0,1019,3,251,266.667,52
"4","2015-01-01 06:00",4,"B6","LGA",600,0,1019,3,251,266.667,52
"5","2015-01-01 06:00",4,"B6","JFK",600,-3,1019,3,251,266.667,52
"6","2015-01-01 06:00",4,"B6","EWR",600,-4,1019,3,251,266.667,52
"7","2015-01-01 06:00",4,"DL","LGA",600,4,1019,3,251,266.667,52
"8","2015-01-01 07:00",4,"US","JFK",630,-2,1019,3,251,266.667,52
"9","2015-01-01 07:00",4,"B6","JFK",630,-3,1019,3,251,266.667,52
"10","2015-01-01 07:00",4,"B6","JFK",633,-8,1019,3,251,266.667,52
"11","2015-01-01 07:00",4,"AA","LGA",645,-4,1019,3,251,266.667,52
"12","2015-01-01 07:00",4,"AA","JFK",652,-3,1019,3,251,266.667,52
"13","2015-01-01 07:00",4,"B6","JFK",655,-10,1019,3,251,266.667,52
"14","2015-01-01 07:00",4,"VX","JFK",700,-5,1019,3,251,266.667,52
"15","2015-01-01 07:00",4,"AA","JFK",700,-11,1019,3,251,266.667,52
"16","2015-01-01 07:00",4,"AA","LGA",700,-4,1019,3,251,266.667,52
"17","2015-01-01 07:00",4,"DL","LGA",705,-4,1019,3,251,266.667,52
"18","2015-01-01 07:00",4,"DL","LGA",705,-6,1019,3,251,266.667,52
"19","2015-01-01 07:00",4,"WN","LGA",720,0,1019,3,251,266.667,52
"20","2015-01-01 07:00",4,"UA","LGA",729,11,1019,3,251,266.667,52
"21","2015-01-01 07:00",4,"B6","LGA",729,-7,1019,3,251,266.667,52
"22","2015-01-01 08:00",4,"B6","JFK",740,-5,1018,3,258,266.576,57
"23","2015-01-01 08:00",4,"B6","JFK",745,-7,1018,3,258,266.576,57
"24","2015-01-01 08:00",4,"UA","EWR",751,44,1018,3,258,266.576,57
"25","2015-01-01 08:00",4,"UA","EWR",754,13,1018,3,258,266.576,57
"26","2015-01-01 08:00",4,"UA","EWR",758,-1,1018,3,258,266.576,57
"27","2015-01-01 08:00",4,"DL","LGA",759,-3,1018,3,258,266.576,57
"28","2015-01-01 08:00",4,"VX","JFK",800,-4,1018,3,258,266.576,57
"29","2015-01-01 08:00",4,"AA","JFK",800,-5,1018,3,258,266.576,57
"30","2015-01-01 08:00",4,"DL","JFK",800,-7,1018,3,258,266.576,57
"31","2015-01-01 08:00",4,"DL","LGA",800,0,1018,3,258,266.576,57
"32","2015-01-01 08:00",4,"EV","EWR",800,15,1018,3,258,266.576,57
"33","2015-01-01 08:00",4,"DL","LGA",805,9,1018,3,258,266.576,57
"34","2015-01-01 08:00",4,"DL","JFK",810,-2,1018,3,258,266.576,57
"35","2015-01-01 08:00",4,"EV","EWR",814,11,1018,3,258,266.576,57
"36","2015-01-01 08:00",4,"US","JFK",815,-2,1018,3,258,266.576,57
"37","2015-01-01 08:00",4,"DL","JFK",815,-13,1018,3,258,266.576,57
"38","2015-01-01 08:00",4,"DL","JFK",815,-8,1018,3,258,266.576,57
"39","2015-01-01 08:00",4,"UA","EWR",820,3,1018,3,258,266.576,57
"40","2015-01-01 08:00",4,"UA","EWR",826,-1,1018,3,258,266.576,57
"41","2015-01-01 08:00",4,"B6","JFK",829,-7,1018,3,258,266.576,57
"42","2015-01-01 09:00",4,"UA","JFK",830,-5,1018,3,258,266.576,57
"43","2015-01-01 09:00",4,"B6","EWR",830,-6,1018,3,258,266.576,57
"44","2015-01-01 09:00",4,"DL","JFK",830,-5,1018,3,258,266.576,57
"45","2015-01-01 09:00",4,"AA","JFK",830,-6,1018,3,258,266.576,57
"46","2015-01-01 09:00",4,"DL","JFK",835,49,1018,3,258,266.576,57
"47","2015-01-01 09:00",4,"DL","JFK",845,1,1018,3,258,266.576,57
"48","2015-01-01 09:00",4,"AA","EWR",900,0,1018,3,258,266.576,57
"49","2015-01-01 09:00",4,"DL","JFK",900,25,1018,3,258,266.576,57
"50","2015-01-01 09:00",4,"DL","LGA",900,0,1018,3,258,266.576,57
"51","2015-01-01 09:00",4,"MQ","JFK",900,27,1018,3,258,266.576,57
"52","2015-01-01 09:00",4,"B6","JFK",910,-2,1018,3,258,266.576,57
"53","2015-01-01 09:00",4,"B6","JFK",912,-5,1018,3,258,266.576,57
"54","2015-01-01 09:00",4,"B6","JFK",914,7,1018,3,258,266.576,57
"55","2015-01-01 09:00",4,"UA","EWR",920,3,1018,3,258,266.576,57
"56","2015-01-01 09:00",4,"EV","LGA",925,-5,1018,3,258,266.576,57
"57","2015-01-01 10:00",4,"B6","LGA",930,-6,1018,3,258,266.576,57
"58","2015-01-01 10:00",4,"NK","LGA",940,26,1018,3,258,266.576,57
