"","DateTime","DAY_OF_WEEK","AIRLINE","ORIGIN_AIRPORT","SCHEDULED_DEPARTURE","DEPARTURE_DELAY"
"121","2015-01-01 06:00",4,"AA","JFK",545,55
"124","2015-01-01 06:00",4,"B6","JFK",545,0
"243","2015-01-01 06:00",4,"B6","LGA",600,0
"244","2015-01-01 06:00",4,"B6","JFK",600,-3
"245","2015-01-01 06:00",4,"B6","EWR",600,-4
"255","2015-01-01 06:00",4,"DL","LGA",600,4
"595","2015-01-01 07:00",4,"US","JFK",630,-2
"604","2015-01-01 07:00",4,"B6","JFK",630,-3
"637","2015-01-01 07:00",4,"B6","JFK",633,-8
"717","2015-01-01 07:00",4,"AA","LGA",645,-4
"790","2015-01-01 07:00",4,"AA","JFK",652,-3
"814","2015-01-01 07:00",4,"B6","JFK",655,-10
"847","2015-01-01 07:00",4,"VX","JFK",700,-5
"868","2015-01-01 07:00",4,"AA","JFK",700,-11
"888","2015-01-01 07:00",4,"AA","LGA",700,-4
"1017","2015-01-01 07:00",4,"DL","LGA",705,-4
"1023","2015-01-01 07:00",4,"DL","LGA",705,-6
"1143","2015-01-01 07:00",4,"WN","LGA",720,0
"1239","2015-01-01 07:00",4,"UA","LGA",729,11
"1242","2015-01-01 07:00",4,"B6","LGA",729,-7
"1378","2015-01-01 08:00",4,"B6","JFK",740,-5
"1435","2015-01-01 08:00",4,"B6","JFK",745,-7
"1499","2015-01-01 08:00",4,"UA","EWR",751,44
"1502","2015-01-01 08:00",4,"UA","EWR",754,13
"1541","2015-01-01 08:00",4,"UA","EWR",758,-1
"1551","2015-01-01 08:00",4,"DL","LGA",759,-3
"1570","2015-01-01 08:00",4,"VX","JFK",800,-4
"1594","2015-01-01 08:00",4,"AA","JFK",800,-5
"1633","2015-01-01 08:00",4,"DL","JFK",800,-7
"1650","2015-01-01 08:00",4,"DL","LGA",800,0
"1661","2015-01-01 08:00",4,"EV","EWR",800,15
"1737","2015-01-01 08:00",4,"DL","LGA",805,9
"1795","2015-01-01 08:00",4,"DL","JFK",810,-2
"1832","2015-01-01 08:00",4,"EV","EWR",814,11
"1840","2015-01-01 08:00",4,"US","JFK",815,-2
"1876","2015-01-01 08:00",4,"DL","JFK",815,-13
"1879","2015-01-01 08:00",4,"DL","JFK",815,-8
"1919","2015-01-01 08:00",4,"UA","EWR",820,3
"1991","2015-01-01 08:00",4,"UA","EWR",826,-1
"1999","2015-01-01 08:00",4,"B6","JFK",829,-7
"2002","2015-01-01 09:00",4,"UA","JFK",830,-5
"2036","2015-01-01 09:00",4,"B6","EWR",830,-6
"2041","2015-01-01 09:00",4,"DL","JFK",830,-5
