"","Pressure","Wind Speed","Wind Direction","temperature","humidity","time","date"
"1",1022,2,249,268.05,59,"00:00","2015-01-01"
"2",1022,2,249,268.05,59,"01:00","2015-01-01"
"3",1021,2,246,267.186,58,"02:00","2015-01-01"
"4",1021,2,246,267.186,58,"03:00","2015-01-01"
"5",1021,2,246,267.186,58,"04:00","2015-01-01"
"6",1019,3,251,266.667,52,"05:00","2015-01-01"
"7",1019,3,251,266.667,52,"06:00","2015-01-01"
"8",1019,3,251,266.667,52,"07:00","2015-01-01"
"9",1018,3,258,266.576,57,"08:00","2015-01-01"
"10",1018,3,258,266.576,57,"09:00","2015-01-01"
"11",1018,3,258,266.576,57,"10:00","2015-01-01"
"12",1019,3,261,266.449,57,"11:00","2015-01-01"
"13",1019,3,261,266.449,57,"12:00","2015-01-01"
"14",1021,3,258,267.178609781,62,"13:00","2015-01-01"
"15",1028,3,251,268.991304891,76,"14:00","2015-01-01"
"16",1025,4,251,269.261737159,69,"15:00","2015-01-01"
"17",1034,4,242,271.460666667,88,"16:00","2015-01-01"
"18",1033,5,240,272.117333333,87,"17:00","2015-01-01"
"19",1024,4,244,271.949219074,70,"18:00","2015-01-01"
"20",1025,4,240,272.838278841,73,"19:00","2015-01-01"
"21",1015,4,244,272.941,54,"20:00","2015-01-01"
"22",1015,4,244,272.941,54,"21:00","2015-01-01"
"23",1015,4,244,272.941,54,"22:00","2015-01-01"
"24",1015,3,241,272.754,58,"23:00","2015-01-01"
"25",1015,3,241,272.754,58,"00:00","2015-01-02"
"26",1015,3,241,272.754,58,"01:00","2015-01-02"
"27",1015,3,254,273.289,55,"02:00","2015-01-02"
"28",1015,3,254,273.289,55,"03:00","2015-01-02"
"29",1015,3,254,273.289,55,"04:00","2015-01-02"
"30",1016,3,259,273.027,59,"05:00","2015-01-02"
"31",1016,3,259,273.027,59,"06:00","2015-01-02"
"32",1016,3,259,273.027,59,"07:00","2015-01-02"
"33",1016,3,261,272.405,62,"08:00","2015-01-02"
"34",1016,3,261,272.405,62,"09:00","2015-01-02"
"35",1016,3,261,272.405,62,"10:00","2015-01-02"
"36",1023,3,258,272.86592472,69,"11:00","2015-01-02"
"37",1019,3,254,271.795,62,"12:00","2015-01-02"
"38",1022,3,254,272.503545455,65,"13:00","2015-01-02"
"39",1029,3,255,273.976272727,71,"14:00","2015-01-02"
"40",1026,3,259,274.231246909,67,"15:00","2015-01-02"
"41",1036,4,259,276.025,76,"16:00","2015-01-02"
"42",1036,4,263,276.601,75,"17:00","2015-01-02"
"43",1021,3,270,276.927,57,"18:00","2015-01-02"
"44",1023,3,271,276.237,56,"19:00","2015-01-02"
"45",1023,3,271,276.237,56,"20:00","2015-01-02"
"46",1023,3,271,276.237,56,"21:00","2015-01-02"
"47",1023,3,271,276.237,56,"22:00","2015-01-02"
"48",1029,3,267,275.481568751,65,"23:00","2015-01-02"
"49",1025,2,266,272.583,62,"00:00","2015-01-03"
"50",1025,2,266,272.583,62,"01:00","2015-01-03"
"51",1028,1,264,269.642,70,"02:00","2015-01-03"
"52",1028,1,264,269.642,70,"03:00","2015-01-03"
"53",1028,1,264,269.642,70,"04:00","2015-01-03"
"54",1030,1,294,266.944,77,"05:00","2015-01-03"
"55",1030,1,294,266.944,77,"06:00","2015-01-03"
"56",1030,1,294,266.944,77,"07:00","2015-01-03"
"57",1031,2,7,266.302,77,"08:00","2015-01-03"
"58",1031,2,7,266.302,77,"09:00","2015-01-03"
"59",1031,2,7,266.302,77,"10:00","2015-01-03"
"60",1032,1,52,266.718,79,"11:00","2015-01-03"
"61",1032,1,52,266.718,79,"12:00","2015-01-03"
"62",1032,1,52,266.718,79,"13:00","2015-01-03"
"63",1035,2,81,272.187,67,"14:00","2015-01-03"
"64",1037,2,84,272.883544368,68,"15:00","2015-01-03"
"65",1049,3,91,274.930666667,84,"16:00","2015-01-03"
"66",1048,3,97,275.874333333,82,"17:00","2015-01-03"
"67",1032,2,103,274.868,74,"18:00","2015-01-03"
"68",1032,2,103,274.868,74,"19:00","2015-01-03"
"69",1022,2,107,274.05,94,"20:00","2015-01-03"
"70",1020,2,107,274.35,95,"21:00","2015-01-03"
"71",1019,2,107,274.65,95,"22:00","2015-01-03"
"72",1019,2,120,274.75,96,"23:00","2015-01-03"
"73",1017,2,120,274.85,96,"00:00","2015-01-04"
"74",1015,2,120,275.05,96,"01:00","2015-01-04"
"75",1013,2,126,275.05,96,"02:00","2015-01-04"
"76",1012,2,126,275.35,96,"03:00","2015-01-04"
"77",1010,2,126,275.65,97,"04:00","2015-01-04"
"78",1009,1,170,275.65,96,"05:00","2015-01-04"
"79",1008,1,170,275.55,96,"06:00","2015-01-04"
"80",1007,1,170,275.15,97,"07:00","2015-01-04"
"81",1006,2,229,275.05,97,"08:00","2015-01-04"
"82",1006,2,229,274.95,97,"09:00","2015-01-04"
"83",1006,2,229,275.05,97,"10:00","2015-01-04"
"84",1005,3,218,275.65,97,"11:00","2015-01-04"
"85",1005,1,225,278.15,97,"12:00","2015-01-04"
"86",1004,1,223,278.294763729,97,"13:00","2015-01-04"
"87",1004,3,220,278.55,97,"14:00","2015-01-04"
"88",1003,4,212,279.85,97,"15:00","2015-01-04"
"89",1002,3,216,280.286216498,97,"16:00","2015-01-04"
"90",1000,3,226,281.35,97,"17:00","2015-01-04"
"91",999,2,218,281.784530707,97,"18:00","2015-01-04"
"92",998,1,205,282.55,98,"19:00","2015-01-04"
"93",1005,2,209,284.335912181,95,"20:00","2015-01-04"
"94",996,5,223,282.95,97,"21:00","2015-01-04"
"95",996,5,223,281.95,97,"22:00","2015-01-04"
"96",1004,5,217,283.811029912,95,"23:00","2015-01-04"
"97",997,4,225,282.75,98,"00:00","2015-01-05"
"98",997,4,225,283.05,98,"01:00","2015-01-05"
"99",998,6,272,282.85,97,"02:00","2015-01-05"
"100",999,6,272,283.35,80,"03:00","2015-01-05"
"101",1000,2,307,282.95,65,"04:00","2015-01-05"
"102",1001,5,277,281.45,61,"05:00","2015-01-05"
"103",1001,2,254,280.55,62,"06:00","2015-01-05"
"104",1003,3,252,279.55,65,"07:00","2015-01-05"
"105",1003,1,203,278.55,66,"08:00","2015-01-05"
"106",1004,1,216,277.85,66,"09:00","2015-01-05"
"107",1005,2,294,277.55,63,"10:00","2015-01-05"
"108",1006,2,315,277.05,58,"11:00","2015-01-05"
"109",1008,1,223,276.45,57,"12:00","2015-01-05"
"110",1010,2,232,275.55,51,"13:00","2015-01-05"
"111",1017,3,245,275.290180523,64,"14:00","2015-01-05"
"112",1018,3,249,275.085657078,59,"15:00","2015-01-05"
"113",1033,6,282,274.461666667,90,"16:00","2015-01-05"
"114",1033,6,283,274.277333333,84,"17:00","2015-01-05"
"115",1020,2,291,274.778276657,58,"18:00","2015-01-05"
"116",1013,1,298,274.85,38,"19:00","2015-01-05"
"117",1014,2,332,273.75,41,"20:00","2015-01-05"
"118",1016,2,257,272.65,39,"21:00","2015-01-05"
"119",1017,3,293,271.85,42,"22:00","2015-01-05"
"120",1019,2,288,270.95,42,"23:00","2015-01-05"
"121",1019,3,293,270.35,39,"00:00","2015-01-06"
"122",1019,3,293,269.35,40,"01:00","2015-01-06"
"123",1020,3,290,268.55,42,"02:00","2015-01-06"
"124",1020,3,290,267.75,45,"03:00","2015-01-06"
"125",1020,3,290,267.25,48,"04:00","2015-01-06"
"126",1021,1,256,266.75,50,"05:00","2015-01-06"
"127",1021,2,285,266.25,51,"06:00","2015-01-06"
"128",1021,2,285,265.85,53,"07:00","2015-01-06"
"129",1020,1,222,265.85,52,"08:00","2015-01-06"
"130",1020,1,285,265.95,54,"09:00","2015-01-06"
"131",1019,1,285,266.05,54,"10:00","2015-01-06"
"132",1020,1,258,266.25,56,"11:00","2015-01-06"
"133",1020,1,254,266.050194121,61,"12:00","2015-01-06"
"134",1018,1,240,265.25,82,"13:00","2015-01-06"
"135",1018,1,190,265.45,85,"14:00","2015-01-06"
"136",1016,1,190,266.05,83,"15:00","2015-01-06"
"137",1016,1,197,266.249550688,82,"16:00","2015-01-06"
"138",1013,2,226,267.15,82,"17:00","2015-01-06"
"139",1012,2,233,267.207708509,81,"18:00","2015-01-06"
"140",1011,2,260,267.45,81,"19:00","2015-01-06"
"141",1011,2,260,267.45,81,"20:00","2015-01-06"
"142",1011,2,260,267.35,83,"21:00","2015-01-06"
"143",1010,2,274,266.05,84,"22:00","2015-01-06"
"144",1016,3,275,266.738439024,88,"23:00","2015-01-06"
"145",1010,2,274,263.95,88,"00:00","2015-01-07"
"146",1010,2,274,263.75,89,"01:00","2015-01-07"
"147",1010,2,264,263.75,89,"02:00","2015-01-07"
"148",1009,2,264,262.65,89,"03:00","2015-01-07"
"149",1008,2,264,261.95,88,"04:00","2015-01-07"
"150",1007,2,261,261.35,89,"05:00","2015-01-07"
"151",1008,2,261,261.75,90,"06:00","2015-01-07"
"152",1011,2,260,262.567827897,91,"07:00","2015-01-07"
"153",1020,3,256,264.603913949,95,"08:00","2015-01-07"
"154",1006,2,263,263.623195934,90,"09:00","2015-01-07"
"155",1019,3,257,266.259027258,96,"10:00","2015-01-07"
"156",1005,3,265,265.65,90,"11:00","2015-01-07"
"157",1007,3,267,265.921534912,91,"12:00","2015-01-07"
"158",1026,5,270,267.572333333,100,"13:00","2015-01-07"
"159",1026,5,276,267.761666667,100,"14:00","2015-01-07"
"160",1026,5,273,267.9055,100,"15:00","2015-01-07"
"161",1026,6,282,268.11,100,"16:00","2015-01-07"
"162",1026,6,282,268.269,100,"17:00","2015-01-07"
"163",1013,3,269,268.017085667,62,"18:00","2015-01-07"
"164",1006,3,264,268.05,44,"19:00","2015-01-07"
"165",1007,1,355,266.95,62,"20:00","2015-01-07"
"166",1008,2,341,266.344463668,55,"21:00","2015-01-07"
"167",1011,4,306,264.85,40,"22:00","2015-01-07"
"168",1013,2,16,263.65,45,"23:00","2015-01-07"
"169",1013,2,13,263.281351841,44,"00:00","2015-01-08"
"170",1015,2,5,261.75,44,"01:00","2015-01-08"
"171",1016,3,355,261.15,46,"02:00","2015-01-08"
"172",1016,5,315,260.75,48,"03:00","2015-01-08"
"173",1016,2,355,260.45,49,"04:00","2015-01-08"
"174",1017,1,306,260.05,51,"05:00","2015-01-08"
"175",1018,1,302,259.85,53,"06:00","2015-01-08"
"176",1018,1,306,259.55,56,"07:00","2015-01-08"
"177",1018,4,315,259.45,54,"08:00","2015-01-08"
"178",1019,4,315,259.25,56,"09:00","2015-01-08"
"179",1019,4,315,259.45,57,"10:00","2015-01-08"
"180",1020,1,236,259.45,62,"11:00","2015-01-08"
"181",1021,3,308,259.45,66,"12:00","2015-01-08"
"182",1021,3,308,260.25,68,"13:00","2015-01-08"
"183",1021,4,270,262.35,62,"14:00","2015-01-08"
"184",1024,4,268,262.988236617,67,"15:00","2015-01-08"
"185",1043,4,267,265.085,100,"16:00","2015-01-08"
"186",1042,4,264,265.922,100,"17:00","2015-01-08"
"187",1019,1,230,266.95,49,"18:00","2015-01-08"
"188",1019,1,322,266.65,49,"19:00","2015-01-08"
"189",1019,1,270,266.25,50,"20:00","2015-01-08"
"190",1018,1,225,265.45,55,"21:00","2015-01-08"
"191",1018,1,227,265.35,55,"22:00","2015-01-08"
"192",1024,2,222,263.919,59,"23:00","2015-01-08"
"193",1024,2,222,263.919,59,"00:00","2015-01-09"
"194",1024,2,222,263.919,59,"01:00","2015-01-09"
"195",1023,2,221,263.473,61,"02:00","2015-01-09"
"196",1023,2,221,263.473,61,"03:00","2015-01-09"
"197",1020,3,204,263.987,64,"04:00","2015-01-09"
"198",1021,3,204,264.153071193,67,"05:00","2015-01-09"
"199",1020,3,204,263.987,64,"06:00","2015-01-09"
"200",1021,3,206,264.689281351,68,"07:00","2015-01-09"
"201",1026,5,212,266.889640676,83,"08:00","2015-01-09"
"202",1016,3,208,265.469,66,"09:00","2015-01-09"
"203",1015,3,217,266.259578947,68,"10:00","2015-01-09"
"204",1015,3,227,267.138,71,"11:00","2015-01-09"
"205",1015,3,227,267.138,71,"12:00","2015-01-09"
"206",1016,3,227,267.356549579,72,"13:00","2015-01-09"
"207",1023,5,232,268.884274789,86,"14:00","2015-01-09"
"208",1015,3,234,268.876,73,"15:00","2015-01-09"
"209",1017,4,237,269.526549451,76,"16:00","2015-01-09"
"210",1023,5,243,271.051274725,84,"17:00","2015-01-09"
"211",1021,4,250,270.072191646,80,"18:00","2015-01-09"
"212",1029,6,256,272.234333333,91,"19:00","2015-01-09"
"213",1029,5,263,271.892666667,91,"20:00","2015-01-09"
"214",1031,5,259,271.1135,94,"21:00","2015-01-09"
"215",1031,5,269,270.917666667,92,"22:00","2015-01-09"
"216",1032,5,269,270.284333333,95,"23:00","2015-01-09"
"217",1018,3,269,267.501,61,"00:00","2015-01-10"
"218",1018,3,269,267.326559727,61,"01:00","2015-01-10"
"219",1020,3,273,265.557,62,"02:00","2015-01-10"
"220",1020,3,273,265.373808151,61,"03:00","2015-01-10"
"221",1021,3,275,263.903,59,"04:00","2015-01-10"
"222",1024,3,275,264.307762828,66,"05:00","2015-01-10"
"223",1021,3,275,263.903,59,"06:00","2015-01-10"
"224",1021,3,276,263.670098869,59,"07:00","2015-01-10"
"225",1022,3,280,262.731,59,"08:00","2015-01-10"
"226",1022,3,280,262.631825678,58,"09:00","2015-01-10"
"227",1025,3,283,261.683,58,"10:00","2015-01-10"
"228",1027,3,282,261.970462406,64,"11:00","2015-01-10"
"229",1026,3,283,261.283,60,"12:00","2015-01-10"
