datetime,wind_speed,wind_direction ,temperature ,pressure,humidity
01/01/2015 00:00,2,249,268.05,1022,59
01/01/2015 01:00,2,249,268.05,1022,59
01/01/2015 02:00,2,246,267.186,1021,58
01/01/2015 03:00,2,246,267.186,1021,58
01/01/2015 04:00,2,246,267.186,1021,58
01/01/2015 05:00,3,251,266.667,1019,52
01/01/2015 06:00,3,251,266.667,1019,52
01/01/2015 07:00,3,251,266.667,1019,52
01/01/2015 08:00,3,258,266.576,1018,57
01/01/2015 09:00,3,258,266.576,1018,57
01/01/2015 10:00,3,258,266.576,1018,57
01/01/2015 11:00,3,261,266.449,1019,57
01/01/2015 12:00,3,261,266.449,1019,57
01/01/2015 13:00,3,258,267.1786098,1021,62
01/01/2015 14:00,3,251,268.9913049,1028,76
01/01/2015 15:00,4,251,269.2617372,1025,69
01/01/2015 16:00,4,242,271.4606667,1034,88
01/01/2015 17:00,5,240,272.1173333,1033,87
01/01/2015 18:00,4,244,271.9492191,1024,70
01/01/2015 19:00,4,240,272.8382788,1025,73
01/01/2015 20:00,4,244,272.941,1015,54
01/01/2015 21:00,4,244,272.941,1015,54
01/01/2015 22:00,4,244,272.941,1015,54
01/01/2015 23:00,3,241,272.754,1015,58
02/01/2015 00:00,3,241,272.754,1015,58
02/01/2015 01:00,3,241,272.754,1015,58
02/01/2015 02:00,3,254,273.289,1015,55
02/01/2015 03:00,3,254,273.289,1015,55
02/01/2015 04:00,3,254,273.289,1015,55
02/01/2015 05:00,3,259,273.027,1016,59
02/01/2015 06:00,3,259,273.027,1016,59
02/01/2015 07:00,3,259,273.027,1016,59
02/01/2015 08:00,3,261,272.405,1016,62
02/01/2015 09:00,3,261,272.405,1016,62
02/01/2015 10:00,3,261,272.405,1016,62
02/01/2015 11:00,3,258,272.8659247,1023,69
02/01/2015 12:00,3,254,271.795,1019,62
02/01/2015 13:00,3,254,272.5035455,1022,65
02/01/2015 14:00,3,255,273.9762727,1029,71
02/01/2015 15:00,3,259,274.2312469,1026,67
02/01/2015 16:00,4,259,276.025,1036,76
02/01/2015 17:00,4,263,276.601,1036,75
02/01/2015 18:00,3,270,276.927,1021,57
02/01/2015 19:00,3,271,276.237,1023,56
02/01/2015 20:00,3,271,276.237,1023,56
